target,id,date,flag,user,text,text_processed
0,2190584004,Tue Jun 16 03:08:48 PDT 2009,NO_QUERY,Vicki_Gee,i miss nikki nu nu already  shes always there when needed thank u xxx,"['miss', 'nikki', 'nu', 'nu', 'alreadi', 'alway', 'need', 'thank', 'u', 'xxx']"
0,1881451988,Fri May 22 04:42:15 PDT 2009,NO_QUERY,PatCashin,So I had a dream last night. I  remember a sign which clearly told me where to get a job.  I can't rememer what the sign said.  ,"['dream', 'last', 'night', 'rememb', 'sign', 'clearli', 'told', 'get', 'job', 'remem', 'sign', 'said']"
0,2058252964,Sat Jun 06 14:34:17 PDT 2009,NO_QUERY,deelectable,@girlyghost ohh poor sickly you   (((hugs)) hope you feel a little better soon,"['girlyghost', 'ohh', 'poor', 'sickli', 'hug', 'hope', 'feel', 'littl', 'better', 'soon']"
0,2237307600,Fri Jun 19 05:34:22 PDT 2009,NO_QUERY,justinekepa,it is raining again ,['rain']
0,2224301193,Thu Jun 18 09:20:06 PDT 2009,NO_QUERY,cmatt007,@MissKeriBaby wish I was in LA right now ,"['misskeribabi', 'wish', 'wa', 'la', 'right']"
0,1692257495,Sun May 03 19:36:35 PDT 2009,NO_QUERY,Dogbook,Nala Olowalu still has a full tummy from bread basket #2  http://apps.facebook.com/dogbook/profile/view/6285546,"['nala', 'olowalu', 'still', 'ha', 'full', 'tummi', 'bread', 'basket']"
4,1557782222,Sun Apr 19 05:58:52 PDT 2009,NO_QUERY,MyAppleStuff,"@macintom site doesn't seem to want to load up, they must be getting a lot of hits ","['macintom', 'site', 'seem', 'want', 'load', 'must', 'get', 'lot', 'hit']"
0,1984628467,Sun May 31 15:29:11 PDT 2009,NO_QUERY,AlexCarrier,time for some sleep- hav to actually do some work tmrw!! ,"['time', 'sleep', 'hav', 'actual', 'work', 'tmrw']"
0,2240793149,Fri Jun 19 10:10:09 PDT 2009,NO_QUERY,simonhowes,@supercoolkp In Oxford that month.  ,"['supercoolkp', 'oxford', 'month']"
4,1834037031,Mon May 18 01:23:05 PDT 2009,NO_QUERY,Sofuce,"..time for a cup of tea and fruit bagels, i'm going to turn the day around! ","['time', 'cup', 'tea', 'fruit', 'bagel', 'go', 'turn', 'day', 'around']"
4,2001270247,Tue Jun 02 00:20:53 PDT 2009,NO_QUERY,mouaboy6,Just finished playing asshole. first time 2nd place. Second time 1st place. Heh. ,"['finish', 'play', 'asshol', 'first', 'time', 'nd', 'place', 'second', 'time', 'st', 'place', 'heh']"
